ACRONYM,COUNTY
AL,ALLEN
AN,ANDERSON
AT,ATCHISON
BA,BARBER
BB,BOURBON
BR,BROWN
BT,BARTON
BU,BUTLER
CA,CLARK
CD,CLOUD
CF,COFFEY
CK,CHEROKEE
CL,COWLEY
CM,COMANCHE
CN,CHEYENNE
CQ,CHAUTAUQUA
CR,CRAWFORD
CS,CHASE
CY,CLAY
DC,DECATUR
DG,DOUGLAS
DK,DICKINSON
DP,DONIPHAN
ED,EDWARDS
EK,ELK
EL,ELLIS
EW,ELLSWORTH
FI,FINNEY
FO,FORD
FR,FRANKLIN
GE,GEARY
GH,GRAHAM
GL,GREELEY
GO,GOVE
GT,GRANT
GW,GREENWOOD
GY,GRAY
HG,HODGEMAN
HM,HAMILTON
HP,HARPER
HS,HASKELL
HV,HARVEY
JA,JACKSON
JF,JEFFERSON
JW,JEWELL
JO,JOHNSON
KE,KEARNY
KM,KINGMAN
KW,KIOWA
LB,LABETTE
LC,LINCOLN
LE,LANE
LG,LOGAN
LN,LINN
LV,LEAVENWORTH
LY,LYON
MC,MITCHELL
ME,MEADE
MG,MONTGOMERY
MI,MIAMI
MN,MARION
MP,MCPHERSON
MR,MORRIS
MS,MARSHALL
MT,MORTON
NM,NEMAHA
NO,NEOSHO
NS,NESS
NT,NORTON
OB,OSBORNE
OS,OSAGE
OT,OTTAWA
PL,PHILLIPS
PN,PAWNEE
PR,PRATT
PT,POTTAWATOMIE
RA,RAWLINS
RC,RICE
RH,RUSH
RL,RILEY
RN,RENO
RO,ROOKS
RP,REPUBLIC
RS,RUSSELL
SA,SALINE
SC,SCOTT
SD,SHERIDAN
SF,STAFFORD
SG,SEDGWICK
SH,SHERMAN
SM,SMITH
SN,SHAWNEE
ST,STANTON
SU,SUMNER
SV,STEVENS
SW,SEWARD
TH,THOMAS
TR,TREGO
WA,WALLACE
WB,WABAUNSEE
WH,WICHITA
WL,WILSON
WO,WOODSON
WS,WASHINGTON
WY,WYANDOTTE